index,Entity,Code,Year,Prevalence in Males,Prevalence in Females,Population (historical estimates),Continent
22517,Iceland,ISL,2015,1.36030446334,0.472801249044,330237.0,Europe
22776,India,IND,2015,0.550616235114,0.225259476214,1310152392.0,Asia
23035,Indonesia,IDN,2015,0.8126190690080001,0.376114026746,258383257.0,Asia
23294,Iran,IRN,2015,2.60941972411,1.22404435402,78492208.0,Asia
23553,Iraq,IRQ,2015,0.7613597505659999,0.332249912833,35572269.0,Asia
23812,Ireland,IRL,2015,1.6249352739100005,0.598513155224,4652420.0,Europe
24143,Israel,ISR,2015,1.55221716785,0.633054860188,7978496.0,Asia
24402,Italy,ITA,2015,1.93226922535,0.421924935897,60578489.0,Europe
24661,Jamaica,JAM,2015,3.16447680876,1.26141239939,2891024.0,North America
24912,Japan,JPN,2015,1.04453518562,0.3336324822099999,127985139.0,Asia
25172,Jordan,JOR,2015,1.6264991611,0.704198847895,9266573.0,Asia
25431,Kazakhstan,KAZ,2015,1.43755668203,0.595870737001,17572010.0,Asia
25690,Kenya,KEN,2015,1.93292235557,0.8390850126330001,47878339.0,Africa
25949,Kiribati,KIR,2015,1.22885164024,0.51672033051,110927.0,Oceania
26172,Kuwait,KWT,2015,1.66785732511,0.718651719042,3835588.0,Asia
26431,Kyrgyzstan,KGZ,2015,1.41696463964,0.589370488459,5959126.0,Asia
26690,Laos,LAO,2015,0.8122351116650001,0.377118320009,6741160.0,Asia
26977,Latvia,LVA,2015,1.46423602362,0.606322642512,1997675.0,Europe
27236,Lebanon,LBN,2015,2.28039003446,1.25244792117,6532681.0,Asia
27495,Lesotho,LSO,2015,1.92388371907,0.836623482583,2059011.0,Africa
27754,Liberia,LBR,2015,1.88320153969,0.857776002781,4472229.0,Africa
28013,Libya,LBY,2015,1.63277759233,0.7087787326589999,6418315.0,Africa
28531,Lithuania,LTU,2015,1.45327056033,0.605065083436,2931872.0,Europe
28846,Luxembourg,LUX,2015,1.50241282989,0.5397483966550001,566741.0,Europe
29177,Madagascar,MDG,2015,1.89591739895,0.829029967386,24234080.0,Africa
29436,Malawi,MWI,2015,1.91331364718,0.832799030545,16745305.0,Africa
29695,Malaysia,MYS,2015,0.533927309323,0.24295137034,30270965.0,Asia
29954,Maldives,MDV,2015,0.8224583177629999,0.381032444511,454914.0,Asia
30176,Mali,MLI,2015,1.8868403534,0.858611661273,17438772.0,Africa
30435,Malta,MLT,2015,1.50556173563,0.5392666357879999,433559.0,Europe
30691,Marshall Islands,MHL,2015,1.24026787469,0.519833727659,57444.0,Oceania
31028,Mauritania,MRT,2015,1.91498754766,0.866772008362,4046304.0,Africa
31287,Mauritius,MUS,2015,0.82302234948,0.38061533234,1259457.0,Africa
31618,Mexico,MEX,2015,0.945641573868,0.375955436515,121858251.0,North America
31877,Micronesia (country),FSM,2015,1.2387236687199998,0.5199651081369999,108886.0,Oceania
32128,Moldova,MDA,2015,1.43397650743,0.597069405066,4070705.0,Europe
