index,Entity,Code,Year,Prevalence in Males,Prevalence in Females,Population (historical estimates),Continent
53355,United States,USA,2015,0.555218729849,0.171815802072,320878312.0,North America
53615,United States Virgin Islands,VIR,2015,0.418713111843,0.166444735629,104950.0,North America
53724,Uruguay,URY,2015,0.50772758063,0.18707075183,3412013.0,South America
53983,Uzbekistan,UZB,2015,0.366183113222,0.149812551983,30929556.0,Asia
54242,Vanuatu,VUT,2015,0.3158245938719999,0.1316270036589999,271128.0,Oceania
54713,Venezuela,VEN,2015,0.393788921092,0.160351932376,30081827.0,South America
54972,Vietnam,VNM,2015,0.359103264223,0.146298096522,92677082.0,Asia
55758,Yemen,YEM,2015,0.342212043387,0.132952829929,26497881.0,Asia
56020,Zambia,ZMB,2015,0.2899459821,0.130359603204,15879370.0,Africa
56280,Zimbabwe,ZWE,2015,0.305074664901,0.138223187242,13814642.0,Africa
