index,Entity,Code,Year,Prevalence in Males,Prevalence in Females,Population (historical estimates),Continent
32128,Moldova,MDA,2015,0.685722317177,0.607472064973,4070705.0,Europe
32609,Mongolia,MNG,2015,0.545586083613,0.510925496091,2998433.0,Asia
32868,Montenegro,MNE,2015,0.457325219322,0.4268895976819999,626957.0,Europe
33198,Morocco,MAR,2015,1.96360159454,1.52358978271,34663608.0,Africa
33457,Mozambique,MOZ,2015,0.774419075592,0.695139880746,27042001.0,Africa
33716,Myanmar,MMR,2015,1.02154372959,1.18894919684,52680724.0,Asia
33976,Namibia,NAM,2015,0.354563317104,0.3364599693919999,2314901.0,Africa
34457,Nepal,NPL,2015,2.08122825023,1.6973487734,27015033.0,Asia
34716,Netherlands,NLD,2015,0.15713831843,0.2204652816649999,16938492.0,Europe
35159,New Zealand,NZL,2015,0.206563153102,0.2831658203909999,4614527.0,Oceania
35396,Nicaragua,NIC,2015,0.442100815765,0.409877744261,6223234.0,North America
35655,Niger,NER,2015,1.15972453782,0.997222948283,20001663.0,Africa
35914,Nigeria,NGA,2015,0.4006517403139999,0.368275750489,181137454.0,Africa
36533,North Korea,PRK,2015,1.48785441536,0.960076472951,25183832.0,Asia
36792,North Macedonia,MKD,2015,0.493738954361,0.46043793031,2079335.0,Europe
37080,Northern Mariana Islands,MNP,2015,0.316487821071,0.296178729932,55779.0,Oceania
37152,Norway,NOR,2015,0.112835155461,0.311829606203,5199827.0,Europe
37670,Oman,OMN,2015,0.965962307923,0.7504297406479999,4267341.0,Asia
37929,Pakistan,PAK,2015,1.48988284031,0.85030202592,199426953.0,Asia
38410,Palestine,PSE,2015,2.44172404137,1.88795850853,4529160.0,Asia
38632,Panama,PAN,2015,0.2597680598169999,0.260056146825,3968490.0,North America
38891,Papua New Guinea,PNG,2015,1.10521912978,1.00569966658,8107772.0,Oceania
39150,Paraguay,PRY,2015,0.36879020207,0.368208363022,6688746.0,South America
39410,Peru,PER,2015,0.318928710021,0.322023635288,30470739.0,South America
39669,Philippines,PHL,2015,0.846145481333,0.981854262764,102113206.0,Asia
39929,Poland,POL,2015,0.401403148678,0.376531171496,38034076.0,Europe
40188,Portugal,PRT,2015,0.4286545670609999,0.48667750742,10368346.0,Europe
40447,Puerto Rico,PRI,2015,0.192469752473,0.208970101723,3381512.0,North America
40564,Qatar,QAT,2015,0.5883086187900001,0.500938385109,2565708.0,Asia
40923,Romania,ROU,2015,0.426741822836,0.3987348023679999,19925182.0,Europe
41182,Russia,RUS,2015,0.393264293171,0.3608047997169999,144985059.0,Europe
41441,Rwanda,RWA,2015,0.610041481,0.554982167719,11369066.0,Africa
42090,Saint Lucia,LCA,2015,0.305490726983,0.31166707885,179131.0,North America
42526,Saint Vincent and the Grenadines,VCT,2015,0.316517827753,0.325067576656,109135.0,North America
42772,Samoa,WSM,2015,0.593029885949,0.532573275536,193510.0,Oceania
43243,Sao Tome and Principe,STP,2015,0.464712716436,0.41406873008,199439.0,Africa
43502,Saudi Arabia,SAU,2015,0.588460229298,0.444679928757,31717676.0,Asia
43790,Senegal,SEN,2015,0.453359775492,0.408921409619,14578450.0,Africa
44049,Serbia,SRB,2015,0.488485050525,0.444717170486,8876777.0,Europe
44310,Seychelles,SYC,2015,0.376723100059,0.464036832107,94981.0,Africa
44532,Sierra Leone,SLE,2015,0.668345115001,0.597372835426,7171909.0,Africa
44791,Singapore,SGP,2015,0.139593290913,0.107514877669,5592143.0,Asia
45113,Slovakia,SVK,2015,0.376093386549,0.359416918692,5435614.0,Europe
45372,Slovenia,SVN,2015,0.342045958129,0.331732915089,2071199.0,Europe
45631,Solomon Islands,SLB,2015,1.17745703346,1.04682969031,603133.0,Oceania
45884,Somalia,SOM,2015,1.72037234193,1.39434810999,13797204.0,Africa
46144,South Africa,ZAF,2015,0.303930565274,0.295767309,55386369.0,Africa
46691,South Korea,KOR,2015,0.056484929106,0.129607194305,50823087.0,Asia
46951,South Sudan,SSD,2015,0.452480199418,0.416298700217,10715657.0,Africa
47285,Spain,ESP,2015,1.59161266371,1.3363919032,46671919.0,Europe
47544,Sri Lanka,LKA,2015,0.663675657001,0.791709195668,20908024.0,Asia
47831,Sudan,SDN,2015,3.87872460531,3.0516490812,38902948.0,Africa
48090,Suriname,SUR,2015,0.287929992697,0.297930648979,559136.0,South America
48402,Sweden,SWE,2015,0.396900122662,0.676301529354,9764949.0,Europe
48661,Switzerland,CHE,2015,0.300820666621,0.359421255901,8296775.0,Europe
48920,Syria,SYR,2015,2.18992634794,1.6489208244,17997411.0,Asia
49179,Taiwan,TWN,2015,0.376515262696,0.262348104705,23557473.0,Asia
49438,Tajikistan,TJK,2015,1.10460175945,0.964986236485,8454019.0,Asia
49697,Tanzania,TZA,2015,0.512709793025,0.467351177357,51482638.0,Africa
49956,Thailand,THA,2015,1.6066126716600002,0.580307139992,68714519.0,Asia
50215,Timor,TLS,2015,1.47496263726,1.6729319023,1196294.0,Asia
50474,Togo,TGO,2015,0.612084060243,0.546236943093,7323162.0,Africa
50805,Tonga,TON,2015,0.67447745665,0.595540971354,100780.0,Oceania
51056,Trinidad and Tobago,TTO,2015,0.208007573131,0.2297827415459999,1370332.0,North America
51324,Tunisia,TUN,2015,1.61074369296,1.2205228582999998,11179951.0,Africa
51583,Turkey,TUR,2015,1.37321881749,1.04704561234,78529413.0,Asia
51842,Turkmenistan,TKM,2015,0.5065684495449999,0.47781803639,5565283.0,Asia
52429,Uganda,UGA,2015,0.6097787949010001,0.559540669387,38225447.0,Africa
52688,Ukraine,UKR,2015,0.529550553461,0.471435776416,44921636.0,Europe
52947,United Arab Emirates,ARE,2015,0.783370778227,0.655686164861,9262896.0,Asia
53206,United Kingdom,GBR,2015,0.3558398914339999,0.4307689423119999,65860149.0,Europe
53466,United States,USA,2015,0.59740752404,0.476474297593,320878312.0,North America
53726,United States Virgin Islands,VIR,2015,0.15269139221,0.179660763216,104950.0,North America
53835,Uruguay,URY,2015,0.513489491012,0.445213136009,3412013.0,South America
54094,Uzbekistan,UZB,2015,0.6906166798219999,0.627843568982,30929556.0,Asia
54353,Vanuatu,VUT,2015,0.946487947567,0.84324289223,271128.0,Oceania
54824,Venezuela,VEN,2015,0.277439838648,0.27268812303,30081827.0,South America
55083,Vietnam,VNM,2015,0.266379750769,1.07682450911,92677082.0,Asia
55872,Yemen,YEM,2015,3.81162513452,3.01647627213,26497881.0,Asia
56134,Zambia,ZMB,2015,0.4727062250559999,0.446366072092,15879370.0,Africa
56394,Zimbabwe,ZWE,2015,0.657861670124,0.615192061871,13814642.0,Africa
